,Specialty,specialties(table),Vet,vet_specialties(table),vetList(html),VetRepository,VetController,vets(table),Vets,CacheConfiguration,Visit,VisitRepository,VisitController,visits(table),createOrUpdateVisitForm(html),OwnerController,Owner,ownerDetails(html),createOrUpdateOwnerForm(html),ownersList(html),OwnerRepository,owners(table),Pet,createOrUpdatePetForm(html),PetRepository,PetController,pets(table),PetType,types(table),PetValidator,PetTypeFormatter,findOwners(html),BaseEntity,NamedEntity,Person,PetClinicApplication,WelcomeController,CrashController,error(html),inputField(html),selectField(html),welcome(html),layout(html),package-info
PetRepository,-6.37456028673053,-2.465208149927909,-17.259267164700013,-12.956542731589746,-17.259267164700013,-17.259267164700013,-17.259267164700013,-13.37633898116918,-13.37633898116918,-0.6555034747929626,30.411899448675108,30.411899448675108,20.160636790204276,29.445253525606674,20.825839712921763,26.146040170447286,26.146040170447286,26.839312285020505,18.710869323777004,13.773409037988944,26.146040170447286,24.024671696459777,0.9999999999999929,5.600864053909582,0.9999999999999929,-9.25126265847084,8.779213830550518,6.15072948458095,31.47793395256214,0.49589797613425546,1.9719989245170773,13.773409037988944,26.28696554911644,25.23208482249455,20.998195404759613,-22.644333955154615,-2.1494748211968844,-0.5113568520715834,0.0,33.8492360622087,21.44181861477499,-2.1494748211968844,24.739187920224452,0.0
PetController,-6.37456028673053,-2.465208149927909,-17.259267164700013,-12.956542731589746,-17.259267164700013,-17.259267164700013,-17.259267164700013,-13.37633898116918,-13.37633898116918,-0.6555034747929626,20.160636790204276,20.160636790204276,-4.588100551324884,19.193990867135845,-3.9228976286073998,15.894777511976452,15.894777511976452,16.588049626549672,28.96213198224784,24.024671696459784,15.894777511976452,13.773409037988944,-9.25126265847084,15.852126712380421,-9.25126265847084,1.0,-1.4720488279203146,-4.1005331738898825,21.226671294091307,10.747160634605095,12.223261582987917,24.024671696459784,17.916844638282935,16.861963911661043,12.628074493926105,-22.644333955154615,-2.1494748211968844,-0.5113568520715834,0.0,23.597973403737868,31.69308127324583,-2.1494748211968844,16.369067009390946,0.0
pets(table),-3.241933096709831,-2.4679388587771482,-13.517273180152676,-10.502122625317106,-13.517273180152676,-13.517273180152676,-13.517273180152676,-13.88042328357088,-13.88042328357088,-0.9373146332265057,32.52358854738034,32.52358854738034,22.272325888909513,30.759211688341107,21.22088289127045,29.00205932198707,29.00205932198707,28.626858846996264,19.369727715412008,13.615292613756235,29.00205932198707,23.866555272227068,8.779213830550518,8.920771350886202,8.779213830550518,-1.4720488279203146,1.0,12.847737181483911,29.315564266933553,6.573315126198342,7.803267013094235,13.615292613756235,27.695957656281966,28.864766416356154,21.531960693554822,-18.26930510373473,-4.4900256336326185,-1.5598268527480856,0.0,33.863915350810274,24.314204968307,-4.4900256336326185,25.63179825043458,0.0
PetType,-9.166366794906592,-4.5819757830485806,-14.91220618442714,-12.813547044279012,-14.91220618442714,-14.91220618442714,-14.91220618442714,-11.386955162560021,-11.386955162560021,-4.963492724198466,30.88543788383172,30.88543788383172,20.634175225360888,29.552400234961528,17.291285429338892,26.225106943269978,26.225106943269978,25.450631010108022,14.598826424079757,14.11734419834475,26.225106943269978,24.368606856815582,6.15072948458095,4.236894074241967,6.15072948458095,-4.1005331738898825,12.847737181483911,0.9999999999999929,21.202889481655028,2.2180325112651964,-4.2321967388548885,14.11734419834475,25.224476765246568,23.671843160358264,16.632312685938498,-21.060097371880115,-3.4740307264159407,-1.1121687879568691,0.0,31.581014944387192,17.814739936500253,-3.4740307264159407,22.56301972330072,0.0
types(table),-11.008546992991905,-11.371494154185102,-2.638588420769315,-9.240013416469559,-2.638588420769315,-2.638588420769315,-2.638588420769315,-5.86230654892308,-5.86230654892308,-6.877924506685049,37.71898018522723,37.71898018522723,27.467717526756402,33.06960624184157,20.5955070991803,34.16750996973462,34.16750996973462,31.302071781238098,18.367961025864386,19.737655850752468,34.16750996973462,29.988918509223296,31.47793395256214,17.204776210578412,31.47793395256214,21.226671294091307,29.315564266933553,21.202889481655028,1.000000000000007,20.161388288703186,11.095258961563765,19.737655850752468,25.424296701860438,28.822070451251484,23.2925654223166,-3.6316691399250223,-1.5244327092924332,-0.8274398653373869,0.0,31.925421573834477,16.49401121769629,-1.5244327092924332,25.04842581114898,0.0
PetValidator,-4.941445959414961,-1.2581246849898082,-13.975959880992583,-10.004418870601612,-13.975959880992583,-13.975959880992583,-13.975959880992583,-10.531331804371833,-10.531331804371833,-5.398654317332231,21.855461332832117,21.855461332832117,-2.8932760086970446,21.893884361677287,-6.444414265159795,16.393378021528786,16.393378021528786,16.126386430305594,25.52874699860167,26.619670460065947,16.393378021528786,16.368407801595104,0.49589797613425546,17.289018310880756,0.49589797613425546,10.747160634605095,6.573315126198342,2.2180325112651964,20.161388288703186,1.0,12.19284083069195,26.619670460065947,17.52218778416233,16.200986164150667,11.076710938381742,-17.895629299177276,-2.5756510724439465,-0.8975058779544348,0.0,20.081191161250608,28.389640387119975,-2.5756510724439465,13.815970929572297,0.0
PetTypeFormatter,-8.751335755960557,-5.7415013586076205,-12.848562164890323,-12.224562978618492,-12.848562164890323,-12.848562164890323,-12.848562164890323,-8.97516827735541,-8.97516827735541,-12.40363004391891,22.5079907594671,22.5079907594671,-2.240746582062063,21.051529628773583,-9.548673068163207,17.059373959435817,17.059373959435817,15.897156223568498,22.069868466058665,25.873725592639893,17.059373959435817,15.622462934169054,1.9719989245170773,14.424836858649748,1.9719989245170773,12.223261582987917,7.803267013094235,-4.2321967388548885,11.095258961563765,12.19284083069195,1.000000000000007,25.873725592639893,16.13257887766509,15.4889704611989,9.356253145914195,-19.428487547327844,-1.5859227645198026,-2.842826833933269,0.0,17.131759935732653,26.54462035392329,-1.5859227645198026,10.458147793645578,0.0
findOwners(html),-0.6477106335769013,-0.134511802330863,-6.151583230936895,-4.126675192006399,-6.151583230936895,-6.151583230936895,-6.151583230936895,-8.970361256555714,-8.970361256555714,-1.893873749049681,23.43210306619888,23.43210306619888,-1.3166342753302793,22.201070751328714,-4.778595170832256,1.3636422830996118,1.3636422830996118,8.873709797246727,19.613556953430145,1.0000000000000142,1.3636422830996118,-9.251262658470825,13.773409037988944,25.015473160905522,13.773409037988944,24.024671696459784,13.615292613756235,14.11734419834475,19.737655850752468,26.619670460065947,25.873725592639893,1.0000000000000142,19.424483602568145,17.45590180002498,17.061701823880938,-8.777721578507071,-4.6162867607044085,-0.8303004560070474,0.0,21.266352281274347,32.68770951943886,-4.6162867607044085,14.598928220962547,0.0
BaseEntity,16.843127982024633,15.459481041745914,18.123804333663507,15.70495829623847,18.123804333663507,18.123804333663507,18.123804333663507,16.903366129261002,16.903366129261002,-6.414567430066607,27.436734385602414,27.436734385602414,19.066613474768907,25.799393683298838,18.865557375942338,28.20399361117824,28.20399361117824,27.83745870309226,19.145152604540094,19.424483602568145,28.20399361117824,27.79460451340165,26.28696554911644,18.18966553188513,26.28696554911644,17.916844638282935,27.695957656281966,25.224476765246568,25.424296701860438,17.52218778416233,16.13257887766509,19.424483602568145,1.0000000000000142,34.316053147247835,34.35812149770009,-5.090040073095641,-3.614060886108273,-1.4893713378394358,0.0,24.75831638908377,18.199057492592935,-3.614060886108273,32.29730042587528,0.0
NamedEntity,18.531162020190166,19.345225801517966,16.75229148371509,17.370278586895633,16.75229148371509,16.75229148371509,16.75229148371509,21.53358937622821,21.53358937622821,-0.48429198160843856,24.095279634500287,24.095279634500287,15.72515872366678,25.156584248879014,15.038833793756151,23.461576811004253,23.461576811004253,23.697597510181154,14.464354111364276,17.45590180002498,23.461576811004253,25.826022710858485,25.23208482249455,15.262282901566762,25.23208482249455,16.861963911661043,28.864766416356154,23.671843160358264,28.822070451251484,16.200986164150667,15.4889704611989,17.45590180002498,34.316053147247835,1.000000000000007,33.28056682081125,-0.7706675949541973,-3.110489767151078,-0.4318396630455828,0.0,28.503257913137784,11.07032106408486,-3.110489767151078,34.4360945337584,0.0
Person,19.05191793141881,20.250628103837975,13.836710602291259,16.05430255657541,13.836710602291259,13.836710602291259,13.836710602291259,16.185105916448393,16.185105916448393,-2.519774530251556,27.625534175544843,27.625534175544843,19.255413264711336,26.38571564997515,16.98870137832437,21.27053177875412,21.27053177875412,21.040688235110295,13.774771295453299,17.061701823880938,21.27053177875412,25.431822734714444,20.998195404759613,13.419734469787933,20.998195404759613,12.628074493926105,21.531960693554822,16.632312685938498,23.2925654223166,11.076710938381742,9.356253145914195,17.061701823880938,34.35812149770009,33.28056682081125,1.000000000000007,-8.920140033397423,0.749440786967741,-3.6302868836776554,0.0,25.86412330310535,17.308230953109874,0.749440786967741,32.66865993278546,0.0
